Name,Team,Attempts,Attempts per Game,Total Yards,Yards Per Carry,Yards Per Game,TDS
Adrian Peterson,MIN,238,17.0,1341,5.6,95.8,12
LaDainian Tomlinson,SD,315,19.7,1474,4.7,92.1,15
Brandon Jacobs,NYG,202,18.4,1009,5.0,91.7,4
Brian Westbrook,PHI,278,18.5,1333,4.8,88.9,7
Willie Parker,PIT,321,21.4,1316,4.1,87.7,2
Jamal Lewis,CLE,298,19.9,1304,4.4,86.9,9
Ronnie Brown,MIA,119,17.0,602,5.1,86.0,4
Marshawn Lynch,BUF,280,21.5,1115,4.0,85.8,7
Steven Jackson,STL,237,19.8,1002,4.2,83.5,5
Willis McGahee,BAL,294,19.6,1207,4.1,80.5,7
Fred Taylor,JAC,223,14.9,1202,5.4,80.1,5
Clinton Portis,WAS,325,20.3,1262,3.9,78.9,11
Edgerrin James,ARI,324,20.2,1222,3.8,76.4,7
Derrick Ward,NYG,125,15.6,602,4.8,75.2,3
Frank Gore,SF,260,17.3,1102,4.2,73.5,5
Justin Fargas,OAK,222,15.9,1009,4.5,72.1,4
Joseph Addai,IND,261,17.4,1072,4.1,71.5,12
Thomas Jones,NYJ,310,19.4,1119,3.6,69.9,1
Larry Johnson,KC,158,19.8,559,3.5,69.9,3
LenDale White,TEN,303,18.9,1110,3.7,69.4,7
Darius Walker,HOU,58,14.5,264,4.6,66.0,1
Laurence Maroney,NE,185,14.2,835,4.5,64.2,6
Sammy Morris,NE,85,14.2,384,4.5,64.0,3
Ryan Grant,GB,188,12.5,956,5.1,63.7,8
Cedric Benson,CHI,196,17.8,674,3.4,61.3,4
Marion Barber,DAL,204,12.8,975,4.8,60.9,10
Chester Taylor,MIN,157,11.2,844,5.4,60.3,7
Earnest Graham,TB,222,14.8,898,4.0,59.9,10
Ron Dayne,HOU,194,14.9,773,4.0,59.5,6
Travis Henry,DEN,167,13.9,691,4.1,57.6,4
Shaun Alexander,SEA,207,15.9,716,3.5,55.1,4
DeShaun Foster,CAR,247,15.4,876,3.5,54.8,3
Cadillac Williams,TB,54,13.5,208,3.9,52.0,3
Maurice Jones-Drew,JAC,167,11.1,768,4.6,51.2,9
Selvin Young,DEN,140,9.3,729,5.2,48.6,1
Reggie Bush,NO,157,13.1,581,3.7,48.4,4
Kenny Watson,CIN,178,11.1,763,4.3,47.7,7
LaMont Jordan,OAK,144,12.0,549,3.8,45.8,3
Rudi Johnson,CIN,170,15.5,497,2.9,45.2,3
Warrick Dunn,ATL,227,14.2,720,3.2,45.0,4
Maurice Morris,SEA,140,10.0,628,4.5,44.9,4
DeAngelo Williams,CAR,144,9.0,717,5.0,44.8,4
Kevin Jones,DET,153,11.8,581,3.8,44.7,8
Ahman Green,HOU,70,11.7,260,3.7,43.3,2
Jerious Norwood,ATL,103,6.9,613,6.0,40.9,1
Chris Brown,TEN,102,8.5,462,4.5,38.5,5
Fred Jackson,BUF,58,7.2,300,5.2,37.5,0
Jesse Chatman,MIA,128,9.1,515,4.0,36.8,1
Julius Jones,DAL,164,10.2,588,3.6,36.8,2
Tatum Bell,DET,44,8.8,182,4.1,36.4,1
Priest Holmes,KC,46,11.5,137,3.0,34.2,0
Kenton Keith,IND,121,7.6,533,4.4,33.3,3
Najeh Davenport,PIT,107,7.1,499,4.7,33.3,5
Adrian Peterson,CHI,151,9.4,510,3.4,31.9,3
Deuce McAllister,NO,24,8.0,92,3.8,30.7,0
Dominic Rhodes,OAK,75,7.5,302,4.0,30.2,1
DeShawn Wynn,GB,50,7.1,203,4.1,29.0,4
Michael Pittman,TB,68,6.8,286,4.2,28.6,0
Aaron Stecker,NO,115,7.2,448,3.9,28.0,5
T.J. Duckett,DET,65,5.4,335,5.2,27.9,3
Kolby Smith,KC,112,7.0,407,3.6,25.4,2
Brandon Jackson,GB,75,6.8,267,3.6,24.3,1
Michael Bennett,TB,41,5.1,189,4.6,23.6,1
Correll Buckhalter,PHI,62,4.4,313,5.0,22.4,4
Leon Washington,NYJ,71,4.4,353,5.0,22.1,3
Andre Hall,DEN,44,4.4,216,4.9,21.6,2
Pierre Thomas,NO,52,4.3,252,4.8,21.0,1
Ladell Betts,WAS,93,5.8,335,3.6,20.9,1
Samkon Gado,MIA,35,7.0,104,3.0,20.8,3
Michael Turner,SD,71,4.4,316,4.5,19.8,1
Brian Leonard,STL,86,5.4,303,3.5,18.9,0
Lorenzo Booker,MIA,28,4.0,125,4.5,17.9,0
Jerome Harrison,CLE,23,2.9,142,6.2,17.8,0
Jason Wright,CLE,60,3.8,277,4.6,17.3,1
Reuben Droughns,NYG,85,5.3,275,3.2,17.2,6
Chris Henry,TEN,31,4.4,119,3.8,17.0,2
Kevin Faulk,NE,62,3.9,265,4.3,16.6,0
Musa Smith,BAL,75,4.7,264,3.5,16.5,2
Ahmad Bradshaw,NYG,23,1.9,190,8.3,15.8,1
Jackie Battle,KC,14,4.7,47,3.4,15.7,1
DeDe Dorsey,CIN,21,1.8,183,8.7,15.2,0
Ricky Williams,MIA,6,6.0,15,2.5,15.0,0
LaBrandon Toefield,JAC,13,6.5,27,2.1,13.5,1
Antonio Pittman,STL,38,3.5,139,3.7,12.6,0
Adimchinobe Echemandu,HOU,20,2.9,85,4.3,12.1,0
Cory Ross,BAL,12,2.0,72,6.0,12.0,1
Darren Sproles,SD,37,2.5,164,4.4,10.9,2
Mewelde Moore,MIN,20,1.7,113,5.6,9.4,0
Leonard Weaver,SEA,33,2.1,146,4.4,9.1,1
Kenneth Darby,TB,2,2.0,9,4.5,9.0,0
Anthony Thomas,BUF,36,3.6,89,2.5,8.9,0
Brian Calhoun,DET,7,1.8,35,5.0,8.8,0
Vernand Morency,GB,29,2.2,108,3.7,8.3,0
Michael Robinson,SF,26,1.7,121,4.7,8.1,0
Mike Anderson,BAL,15,1.9,62,4.1,7.8,0
Heath Evans,NE,34,2.1,121,3.6,7.6,3
Kyle Eckel,NE,33,2.8,90,2.7,7.5,2
Greg Jones,JAC,42,2.6,119,2.8,7.4,2
Maurice Hicks,SF,21,1.3,117,5.6,7.3,1
Gary Russell,PIT,7,2.3,21,3.0,7.0,0
Tyson Thompson,DAL,14,1.8,54,3.9,6.8,0
Artose Pinner,ATL,5,0.7,46,9.2,6.6,0
Garrett Wolfe,CHI,31,2.4,85,2.7,6.5,0
Dwayne Wright,BUF,29,1.9,94,3.2,6.3,0
Jason Snelling,ATL,13,1.9,43,3.3,6.1,1
Clifton Dawson,IND,30,2.7,64,2.1,5.8,1
Mike Sellers,WAS,26,1.9,78,3.0,5.6,2
J.J. Arrington,ARI,26,1.6,78,3.0,4.9,0
Travis Minor,STL,17,1.2,68,4.0,4.9,0
Carey Davis,PIT,17,1.1,68,4.0,4.2,0
Mack Strong,SEA,4,0.8,19,4.8,3.8,0
Cecil Sapp,DEN,18,1.1,59,3.3,3.7,2
Patrick Cobbs,MIA,15,1.1,47,3.1,3.4,1
Aveion Cason,DET,11,0.9,38,3.5,3.2,0
Lawrence Vickers,CLE,15,0.9,43,2.9,2.7,0
Marcel Shipp,ARI,15,0.9,41,2.7,2.6,1
Lorenzo Neal,SD,13,1.0,32,2.5,2.5,0
Brad Hoover,CAR,12,0.8,39,3.3,2.4,0
Gilbert Harris,KC,9,2.2,9,1.0,2.2,0
Tony Hunt,PHI,10,1.2,16,1.6,2.0,1
Justin Griffith,OAK,7,0.4,27,3.9,1.7,0
Jeremi Johnson,CIN,7,0.4,25,3.6,1.6,0
Jameel Cook,HOU,8,0.5,24,3.0,1.5,0
Naufahu Tahi,MIN,6,0.6,15,2.5,1.5,0
Luke Lawton,IND,5,0.5,13,2.6,1.2,0
Le'Ron McClain,BAL,8,0.5,18,2.3,1.1,0
Thomas Tapeh,PHI,5,0.3,18,3.6,1.1,0
Mike Karney,NO,11,0.7,17,1.5,1.1,2
Jason McKie,CHI,6,0.4,17,2.8,1.1,1
Moran Norris,SF,7,0.4,17,2.4,1.1,0
Tony Richardson,MIN,7,0.5,13,1.9,0.9,0
Ahmard Hall,TEN,1,0.1,8,8.0,0.7,0
Mike Bell,DEN,6,1.2,3,0.5,0.6,0
Jon Bradley,DET,5,0.3,9,1.8,0.6,0
Jeff Dugan,MIN,2,0.1,7,3.5,0.4,0
Ovie Mughelli,ATL,6,0.4,7,1.2,0.4,1
Kris Wilson,KC,3,0.2,7,2.3,0.4,0
Reagan Maui'a,MIA,4,0.2,5,1.3,0.3,0
Alex Haynes,CAR,3,0.3,3,1.0,0.3,0
Dan Kreider,PIT,1,0.1,2,2.0,0.2,0
Terrelle Smith,ARI,1,0.1,3,3.0,0.2,0
Vonta Leach,HOU,2,0.1,2,1.0,0.1,1
Andrew Pinnock,SD,4,0.4,1,0.3,0.1,0
Rock Cartwright,WAS,2,0.1,0,0.0,0.0,0
